VIOLENT_CRIME_FLAG;REPORTING_AREA_ENCODED;OFFENSE_CODE_GROUP_ENCODED;DAY_OF_WEEK_ENCODED;COUNT_CRIMES_ENCODED
0;583;12;0;0
0;535;51;1;0
1;110;43;4;0
0;136;59;0;0
0;536;34;6;2
0;209;56;0;0
0;588;34;4;0
1;362;66;3;1
0;427;40;3;1
1;334;64;0;4
0;286;10;5;1
1;327;63;4;1
1;359;43;0;1
1;415;58;3;0
1;767;66;1;0
0;689;52;5;0
0;632;46;1;2
1;451;35;3;1
0;110;5;3;0
1;159;64;1;2
0;803;37;4;0
1;622;31;0;0
1;264;64;4;0
0;52;4;5;1
1;64;27;2;0
0;43;10;5;2
1;189;41;2;1
0;565;22;4;1
0;416;40;5;0
1;267;35;6;0
0;150;34;6;2
0;838;51;1;0
0;723;40;0;3
0;79;22;5;0
1;514;6;2;1
0;11;34;6;4
1;31;65;2;0
1;268;64;1;3
1;82;31;4;1
0;362;56;2;0
1;600;65;6;1
0;362;32;2;5
0;865;40;6;1
0;503;32;2;2
0;202;34;6;2
1;231;66;5;0
1;558;27;1;0
1;522;58;3;1
0;528;46;1;5
1;96;55;5;0
1;76;41;1;0
0;576;22;5;1
0;452;51;3;0
0;716;51;6;0
1;2;43;2;2
0;562;34;4;1
1;661;43;0;4
0;832;46;2;0
0;347;56;6;0
1;266;63;0;1
1;386;66;0;0
1;387;0;5;1
1;163;64;6;0
1;756;63;4;2
0;400;34;1;3
1;184;31;6;0
0;521;56;0;4
0;212;46;2;1
0;126;52;4;0
0;49;16;6;2
0;127;34;0;9
0;641;4;6;0
1;745;41;5;1
1;245;43;5;4
1;492;41;4;1
0;761;40;0;1
0;65;40;2;1
0;143;62;3;1
1;587;35;2;0
0;507;11;5;1
1;191;31;4;4
0;4;16;1;0
1;800;0;5;0
1;362;65;2;1
0;144;40;5;0
1;281;33;1;0
0;513;62;5;0
0;283;46;5;3
1;579;6;3;0
0;33;34;5;40
1;27;66;2;3
0;257;59;5;0
1;28;49;5;0
0;719;32;4;0
0;264;52;1;1
0;769;59;1;0
1;688;31;4;1
1;124;66;2;0
0;557;40;4;1
1;24;3;3;0
0;595;4;6;0
0;148;36;6;1
1;692;43;1;0
0;56;40;1;3
1;198;57;3;0
1;432;61;3;0
0;582;40;6;6
1;127;63;3;7
1;780;31;1;0
1;119;31;2;0
1;530;0;6;0
1;776;65;0;0
1;243;15;3;0
1;170;65;6;2
0;824;12;1;0
1;125;61;6;0
1;5;58;6;0
0;776;12;4;0
0;139;51;1;0
0;16;34;0;11
1;569;43;1;2
1;443;31;2;0
0;19;38;6;0
1;290;31;0;1
0;607;11;5;0
1;60;61;5;2
1;773;27;4;1
1;409;33;5;0
1;200;41;4;8
0;263;5;2;0
1;590;63;3;1
0;54;51;6;1
0;587;22;0;1
1;848;65;2;1
1;94;15;0;9
1;674;41;2;2
1;90;15;6;4
1;231;35;0;1
1;221;35;4;1
1;778;53;5;0
1;439;0;3;0
0;136;34;2;0
1;31;31;6;1
0;70;32;2;1
0;187;40;3;3
1;377;31;2;4
0;173;56;6;4
0;266;4;6;0
0;149;62;3;1
0;718;32;1;0
1;184;63;2;1
1;428;27;3;0
0;362;46;1;7
0;357;32;4;0
1;369;43;5;4
0;391;52;5;0
0;573;52;0;2
1;295;20;0;1
0;124;32;2;1
1;757;15;6;0
1;849;57;1;0
1;139;0;4;0
1;31;55;2;0
1;497;66;6;0
1;517;53;5;0
1;443;42;6;0
1;852;63;6;1
0;237;4;4;1
0;501;40;4;3
1;332;66;6;1
1;826;41;1;1
1;512;63;3;0
0;775;37;6;0
1;360;57;6;0
1;86;31;2;6
0;169;52;6;0
1;578;31;5;2
0;567;46;1;0
1;228;58;6;0
1;452;27;4;1
1;235;14;6;0
0;458;56;0;0
0;208;40;0;1
1;688;61;3;0
1;55;53;2;0
0;720;62;5;1
0;503;32;4;0
0;559;40;0;5
0;854;52;1;2
0;435;11;5;0
1;37;35;5;1
0;43;16;4;0
1;377;65;3;3
1;215;65;4;0
1;229;41;5;1
0;326;34;1;2
1;725;27;0;0
1;134;15;0;0
1;499;31;6;1
1;628;14;4;0
1;282;61;1;0
0;582;22;4;1
0;7;21;4;0
1;225;35;2;3
0;748;46;6;1
0;537;52;4;0
0;848;19;0;0
1;107;63;0;1
1;465;58;3;0
1;188;31;1;7
1;498;31;3;1
0;71;34;6;0
1;437;31;0;0
1;798;35;4;5
1;390;0;0;1
1;638;43;0;2
0;618;22;6;0
0;38;19;3;0
1;278;63;2;0
1;20;43;6;4
1;435;64;0;2
0;392;34;2;0
1;244;66;1;1
1;490;0;2;0
1;776;63;2;0
1;265;53;0;0
1;825;35;0;0
1;154;42;1;0
1;13;31;2;0
1;393;0;2;3
1;133;42;4;0
1;43;64;5;1
0;576;52;3;0
0;595;62;6;3
1;782;66;6;0
1;387;43;5;2
0;859;46;4;0
0;244;34;5;1
1;309;20;0;0
1;209;31;4;1
0;605;12;5;0
1;184;58;5;0
1;640;58;2;2
1;58;35;6;2
0;766;56;4;8
1;798;49;0;0
1;556;35;5;0
0;245;12;1;0
0;826;46;0;10
0;460;56;1;2
1;254;31;0;0
1;391;65;3;0
1;442;41;6;0
1;814;0;2;0
1;815;63;6;0
1;214;0;0;1
0;261;40;6;9
1;645;35;6;2
0;463;22;6;3
1;522;41;4;1
0;821;52;3;0
0;96;59;1;0
0;4;46;5;12
0;641;46;3;0
0;114;40;0;0
1;488;57;1;1
1;582;35;4;2
1;96;20;2;0
1;293;31;5;0
1;141;63;6;0
1;94;55;0;1
0;830;56;6;0
0;77;34;4;0
1;359;0;2;0
1;125;31;1;0
