OBJECTID,SEGMENT_ID,L_F_ADD,L_T_ADD,R_F_ADD,R_T_ADD,PRE_DIR,ST_NAME,ST_TYPE,SUF_DIR,MUN_L,MUN_R,CFCC,SPEEDLIMIT,ONEWAY,HEIGHT,WEIGHT,WIDTH,F_ZLEV,T_ZLEV,SHIELD,HWY_NUM,NBHD_L,NBHD_R,FT_COST,TF_COST,TF_DIR,FT_DIR,STATE00_L,STATE00_R,COUNTY00_L,COUNTY00_R,PLACE00_L,PLACE00_R,TRACT00_L,TRACT00_R,BLOCK00_L,BLOCK00_R,MCD00_L,MCD00_R,STREET_ID,SHAPElen
5978,7264,34,56,35,55,,Saint Gregory,ST,,Boston,Boston,A41,15,FT,,,,0,0,,,Dorchester,Dorchester,0.212,-1, , ,MA,MA,025,025,07000,07000,02124,02124, , ,07000,07000,3716,277.34005793662
5979,7265,58,72,57,73,,Saint Gregory,ST,,Boston,Boston,A41,15,,,,,0,0,,,Dorchester,Dorchester,0.22,0.22, , ,MA,MA,025,025,07000,07000,02124,02124, , ,07000,07000,3716,290.646022675978
5980,7266,74,98,75,99,,Saint Gregory,ST,,Boston,Boston,A41,15,,,,,0,0,,,Dorchester,Dorchester,0.303,0.303, , ,MA,MA,025,025,07000,07000,02124,02124, , ,07000,07000,3716,401.909515666573
5981,7267,2,56,1,59,,Saint James,AVE,,Boston,Boston,A31,35,,,,,0,0,S,9,Boston,Boston,0.22115409,0.22115409, , ,MA,MA,025,025,07000,07000,02116,02116, , ,07000,07000,3717,681.154595164166
5982,7268,110,126,115,127,,Saint James,AVE,,Boston,Boston,A31,35,FT,,,,0,0,S,9,Boston,Boston,0.09817634,-1, , ,MA,MA,025,025,07000,07000,02116,02116, , ,07000,07000,3717,302.383142328142
5983,7269,34,54,47,53,,Saint James,ST,,Boston,Boston,A41,20,FT,,,,0,0,,,Roxbury,Roxbury,0.132,-1, , ,MA,MA,025,025,07000,07000,02119,02119, , ,07000,07000,3718,205.357424780289
5984,7270,56,58,55,59,,Saint James,ST,,Boston,Boston,A41,20,FT,,,,0,0,,,Roxbury,Roxbury,0.046,-1, , ,MA,MA,025,025,07000,07000,02119,02119, , ,07000,07000,3718,75.1609123223938
5985,7271,60,62,61,61,,Saint James,ST,,Boston,Boston,A41,20,FT,,,,0,0,,,Roxbury,Roxbury,0.068,-1, , ,MA,MA,025,025,07000,07000,02119,02119, , ,07000,07000,3718,40.898453851657
5986,7272,51,1,50,2,,Saint James,PL,,Boston,Boston,A41,15,,,,,0,0,,,Roxbury,Roxbury,0.148,0.148, , ,MA,MA,025,025,07000,07000,02119,02119, , ,07000,07000,3719,199.821069910162
5987,7276,2,2,1,1,,Saint Jude,TER,,Boston,Boston,A41,15,,,,,0,0,,,Dorchester,Dorchester,0.084,0.084, , ,MA,MA,025,025,07000,07000,02122,02122, , ,07000,07000,5248,122.959543105003
